"시간","유저태그","유저ID","서버","서버ID","채널","채널ID","사용내용"
"2026-05-13 06:10:14","mu._.eeee","1496858827822334055","칼부림🔪","1464935805821915242","..","1503485424620933191","/배그 금액:1000"
"2026-05-13 06:10:15","mu._.eeee","1496858827822334055","칼부림🔪","1464935805821915242","..","1503485424620933191","[결과] 배그 결과: 골드 / 배팅:1,000원 / 변동:1,000원 / 잔액:1,726,193원"
"2026-05-13 06:10:22","mu._.eeee","1496858827822334055","칼부림🔪","1464935805821915242","..","1503485424620933191","/가위바위보 배팅액:1000"
"2026-05-13 06:10:25","mu._.eeee","1496858827822334055","칼부림🔪","1464935805821915242","..","1503485424620933191","[버튼 클릭] customId:rps_paper_1000"
"2026-05-13 06:10:25","mu._.eeee","1496858827822334055","칼부림🔪","1464935805821915242","..","1503485424620933191","[결과] 가위바위보 결과: win / 선택:✋ / 봇:✊ / 배팅:1,000원 / 변동:3,000원 / 잔액:1,729,193원"
"2026-05-13 06:10:45","mu._.eeee","1496858827822334055","칼부림🔪","1464935805821915242","..","1503485424620933191","/가위바위보 배팅액:1000"
"2026-05-13 06:10:47","mu._.eeee","1496858827822334055","칼부림🔪","1464935805821915242","..","1503485424620933191","[버튼 클릭] customId:rps_paper_1000"
"2026-05-13 06:10:47","mu._.eeee","1496858827822334055","칼부림🔪","1464935805821915242","..","1503485424620933191","[결과] 가위바위보 결과: draw / 선택:✋ / 봇:✋ / 배팅:1,000원 / 변동:0원 / 잔액:1,729,193원"
"2026-05-13 06:12:10","mu._.eeee","1496858827822334055","칼부림🔪","1464935805821915242","..","1503485424620933191","/가위바위보 배팅액:1000"
"2026-05-13 06:12:12","mu._.eeee","1496858827822334055","칼부림🔪","1464935805821915242","..","1503485424620933191","[버튼 클릭] customId:rps_scissors_1000"
"2026-05-13 06:12:12","mu._.eeee","1496858827822334055","칼부림🔪","1464935805821915242","..","1503485424620933191","[결과] 가위바위보 결과: lose / 선택:✌️ / 봇:✊ / 배팅:1,000원 / 변동:3,000원 / 잔액:1,726,193원"
